date,home_team,away_team,home_score,away_score,spread_line,total_line
2024-11-01,CHI,CLE,116,119,1.9,240.9
2024-11-02,BOS,PHX,123,99,3.6,223.5
2024-11-03,BOS,MIL,112,118,4.4,213.5
2024-11-04,BOS,NOP,124,119,1.8,235.5
2024-11-05,MIA,CLE,110,107,-0.9,230.5
2024-11-06,BOS,PHX,123,107,0.6,214.2
2024-11-07,CHI,CLE,101,112,5.1,224.3
2024-11-08,GSW,MIL,110,111,2.7,224.2
2024-11-09,CHI,MIL,116,113,3.9,212.0
2024-11-10,MIA,PHX,107,101,1.6,227.1
2024-11-11,GSW,HOU,122,103,3.0,223.5
2024-11-12,BOS,MIL,109,99,2.6,231.1
2024-11-13,LAL,NOP,104,99,3.3,230.6
2024-11-14,BOS,PHX,112,96,3.8,223.7
2024-11-15,LAL,NOP,103,106,2.3,225.7
2024-11-16,NYK,MIL,110,97,3.6,227.6
2024-11-17,BOS,MIL,124,90,1.9,218.1
2024-11-18,BOS,ATL,108,112,1.1,222.1
2024-11-19,CHI,ATL,104,98,6.6,216.4
2024-11-20,NYK,PHX,124,99,3.4,220.6
2024-11-21,CHI,PHX,111,103,3.9,228.1
2024-11-22,LAL,ATL,122,92,-0.3,219.7
2024-11-23,BOS,HOU,113,106,4.3,230.7
2024-11-24,GSW,CLE,121,115,1.5,210.8
2024-11-25,MIA,CLE,113,94,1.0,221.8
2024-11-26,MIA,HOU,109,115,2.7,230.1
2024-11-27,CHI,NOP,110,110,1.7,227.2
2024-11-28,MIA,MIL,100,99,2.0,226.0
2024-11-29,BOS,NOP,113,109,3.1,225.3
2024-11-30,LAL,HOU,105,108,4.0,220.6
2024-12-01,CHI,MIL,123,108,0.9,219.5
2024-12-02,MIA,NOP,112,112,5.4,228.0
2024-12-03,NYK,ATL,115,119,2.6,224.6
2024-12-04,MIA,CLE,100,99,3.2,221.1
2024-12-05,GSW,NOP,119,100,4.1,224.6
2024-12-06,LAL,CLE,101,116,3.5,230.2
2024-12-07,LAL,ATL,120,95,3.4,224.4
2024-12-08,CHI,HOU,100,93,1.1,210.5
2024-12-09,GSW,HOU,123,110,5.9,234.8
2024-12-10,MIA,CLE,104,112,3.5,212.6
